fusion_type,dataset,metric,mean,std,median
gated,eval,pearson_corr_ppg_fing,0.9511808156967163,0.036330077797174454,0.9620065689086914
gated,eval,psd_corr_ppg_fing,0.9931615591049194,0.008386364206671715,0.9950212240219116
gated,eval,snr_ppg_fing,11.047729176023733,2.6086769372046548,11.249843835830688
gated,test,mse,0.21231543566001226,0.1904983711405262,0.13099968681732813
gated,test,mae,0.2926127316681206,0.10621920532886367,0.25406839946905774
gated,test,ssim,0.538860656281418,0.12410227284955064,0.5821914772192637
gated,test,pearson_corr,0.8825661540031433,0.12021876871585846,0.9338194727897644
gated,test,psd_corr,0.9772929549217224,0.018400754779577255,0.9831826686859131
gated,test,snr,8.339858386427798,2.4506787055920856,9.012959003448486
gated,test,mse_bp,0.29393504956301225,0.3201100314174842,0.1588072031736374
